Primary_Key;Trasect_code;Date;Year;Month;Time;Island;Site;Bioregion;Diver;Depth;Dive_duration;Transect_length;Census_duration;Current;Temperature;Distance;Thermocline_depth;Water_temp_over_therm;Water_temp_below_therm;Vis_over_therm;Vis_below_therm;Habitat_type_RSM;Rugosity_0_3;Inclination_0_3;Rocky_reef_max_depth;SPECIES;Sex;S_less_30;S_30;S_35;S_40;S_50;S_60;S_70;S_80;S_90;S_100;S_110;S_125;S_150;S_175;S_200;S_210;S_225;S_250;S_300;S_350;S_400;S_more_400;Total;Comments;Cord1;Cord2
;1;29-mar-14;2014;March;08:05:45;Isabela;4 Hermanos;Centro-sur;David Acuña;17;42;44;2;1;C;M;;24;;8;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,31295;-90,53962
;2;29-mar-14;2014;March;08:08:00;Isabela;4 Hermanos;Centro-sur;David Acuña;17;42;44;2;1;C;M;;24;;8;;R;1;3;;Chelonia mydas;hembra;;;;;;1;;;;;;;;;;;;;;;;;;;;
;3;29-mar-14;2014;March;08:10:15;Isabela;4 Hermanos;Centro-sur;David Acuña;17;42;44;2;1;C;M;;24;;8;;R;2;2;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;3;29-mar-14;2014;March;08:10:15;Isabela;4 Hermanos;Centro-sur;David Acuña;17;42;44;2;1;C;M;;24;;8;;R;2;2;;Zalophus wolebacki;hembra;;;;;;;;;;;;;;1;;;;;;;;;;;;
;4;29-mar-14;2014;March;08:12:30;Isabela;4 Hermanos;Centro-sur;David Acuña;17;42;44;2;1;C;M;;24;;8;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;29-mar-14;2014;March;08:14:45;Isabela;4 Hermanos;Centro-sur;David Acuña;16;42;44;2;1;C;M;;24;;8;;R;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;29-mar-14;2014;March;08:17:00;Isabela;4 Hermanos;Centro-sur;David Acuña;16;42;44;2;1;C;M;;24;;8;;R;1;2;;Zalophus wolebacki;hembra;;;;;;;;;;;;;;2;;;;;;;;;;;;
;7;29-mar-14;2014;March;08:19:15;Isabela;4 Hermanos;Centro-sur;David Acuña;16;42;44;2;1;C;M;;24;;8;;R;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;29-mar-14;2014;March;08:21:30;Isabela;4 Hermanos;Centro-sur;David Acuña;16;42;44;2;1;C;M;;24;;8;;R;1;2;;Zalophus wolebacki;hembra;;;;;;;;;;;;;;2;;;;;;;;;;;;
;8;29-mar-14;2014;March;08:21:30;Isabela;4 Hermanos;Centro-sur;David Acuña;16;42;44;2;1;C;M;;24;;8;;R;1;2;;Mycteroperca olfax;;;;;;;;;1;;;;;;;;;;;;;;;;;;
;9;29-mar-14;2014;March;08:23:45;Isabela;4 Hermanos;Centro-sur;David Acuña;16;42;44;2;1;C;M;;24;;8;;R;1;2;;Mycteroperca olfax;;;;;;;;;1;;;;;;;;;;;;;;;;;;
;10;29-mar-14;2014;March;08:26:00;Isabela;4 Hermanos;Centro-sur;David Acuña;16;42;44;2;1;C;M;;24;;8;;R;1;2;;Chelonia mydas;macho;;;;;;;;;;1;;;;;;;;;;;;;;;;
;11;29-mar-14;2014;March;08:28:15;Isabela;4 Hermanos;Centro-sur;David Acuña;16;42;44;2;1;C;M;;24;;8;;R;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12;29-mar-14;2014;March;08:30:30;Isabela;4 Hermanos;Centro-sur;David Acuña;16;42;44;2;1;C;M;;24;;8;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13;29-mar-14;2014;March;08:32:45;Isabela;4 Hermanos;Centro-sur;David Acuña;16;42;44;2;1;C;M;;24;;8;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;14;29-mar-14;2014;March;08:35:00;Isabela;4 Hermanos;Centro-sur;David Acuña;16;42;44;2;1;C;M;;24;;8;;R;1;3;;Zalophus wolebacki;hembra;;;;;;;;;;;;;;1;;;;;;;;;;;;
;1;29-mar-14;2014;March;11:14:40;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;53;2;0;C;M;;23;;9;;M;2;3;;Mycteroperca olfax;;;1;2;1;;;;;;;;;;;;;;;;;;;;;;
;1;29-mar-14;2014;March;11:14:40;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;53;2;0;C;M;;23;;9;;M;2;3;;Lutjanus argentiventris;;1;;;;;;;;;;;;;;;;;;;;;;;;;
;2;29-mar-14;2014;March;11:16:55;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;45;2;0;C;M;;23;;9;;M;2;3;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;2;29-mar-14;2014;March;11:16:55;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;45;2;0;C;M;;23;;9;;M;2;3;;Lutjanus argentiventris;;7;;;;;;;;;;;;;;;;;;;;;;;;;
;2;29-mar-14;2014;March;11:16:55;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;45;2;0;C;M;;23;;9;;M;2;3;;Dasyatis brevis;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;3;29-mar-14;2014;March;11:19:10;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;58;2;0;C;M;;23;;9;;M;2;3;;Lutjanus argentiventris;;;3;;;;;;;;;;;;;;;;;;;;;;;;
;4;29-mar-14;2014;March;11:21:25;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;57;2;0;C;M;;23;;9;;M;2;3;;Mycteroperca olfax;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;
;5;29-mar-14;2014;March;11:23:40;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;61;2;0;C;M;;23;;9;;M;2;3;;Mycteroperca olfax;;;;2;3;1;1;;;;;;;;;;;;;;;;;;;;
;5;29-mar-14;2014;March;11:23:40;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;61;2;0;C;M;;23;;9;;M;2;3;;Lutjanus argentiventris;;;;15;1;;;;;;;;;;;;;;;;;;;;;;
;6;29-mar-14;2014;March;11:25:55;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;46;2;0;C;M;;23;;9;;M;2;3;;Mycteroperca olfax;;;;1;;1;;;;;;;;;;;;;;;;;;;;;
;7;29-mar-14;2014;March;11:28:10;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;53;2;0;C;M;;23;;9;;M;2;3;;Mycteroperca olfax;;;;1;;;;1;;;;;;;;;;;;;;;;;;;
;8;29-mar-14;2014;March;11:30:25;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;58;2;0;C;M;;23;;9;;M;2;3;;Mycteroperca olfax;;;;1;;1;;;;;;;;;;;;;;;;;;;;;
;8;29-mar-14;2014;March;11:30:25;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;58;2;0;C;M;;23;;9;;M;2;3;;Lutjanus argentiventris;;;20;;2;;;;;;;;;;;;;;;;;;;;;;
