Primary_Key;Trasect_code;Date;Year;Month;Time;Island;Site;Bioregion;Diver;Depth;Dive_duration;Transect_length;Census_duration;Current;Temperature;Distance;Thermocline_depth;Water_temp_over_therm;Water_temp_below_therm;Vis_over_therm;Vis_below_therm;Habitat_type_RSM;Rugosity_0_3;Inclination_0_3;Rocky_reef_max_depth;SPECIES;Sex;S_less_30;S_30;S_35;S_40;S_50;S_60;S_70;S_80;S_90;S_100;S_110;S_125;S_150;S_175;S_200;S_210;S_225;S_250;S_300;S_350;S_400;S_more_400;Total;Comments;Cord1;Cord2
;8;29-mar-14;2014;March;11:30:25;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;58;2;0;C;M;;23;;9;;M;2;3;;Chelonia mydas;;;;;;;;;1;;;;;;;;;;;;;;;;;;
;9;29-mar-14;2014;March;11:32:40;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;46;2;0;C;M;;23;;9;;M;2;3;;Mycteroperca olfax;;;;;1;1;;;;;;;;;;;;;;;;;;;;;
;10;29-mar-14;2014;March;11:34:55;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;56;2;0;C;M;;23;;9;;M;2;3;;Mycteroperca olfax;;;;;2;;1;;;;;;;;;;;;;;;;;;;;
;11;29-mar-14;2014;March;11:37:10;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;56;2;0;C;M;;23;;9;;M;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12;29-mar-14;2014;March;11:39:25;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;42;2;0;C;M;;23;;9;;M;2;3;;Chelonia mydas;;;;;;;;1;;;;;;;;;;;;;;;;;;;
;12;29-mar-14;2014;March;11:39:25;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;42;2;0;C;M;;23;;9;;M;2;3;;Dasyatis brevis;;;;;;;;;1;;;;;;;;;;;;;;;;;;
;13;29-mar-14;2014;March;11:40:40;Isabela;Este 7;Centro-sur;Etienne Rastoin;20;39;36;2;0;C;M;;23;;9;;M;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;29-mar-14;2014;March;14:24:00;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;48;2;0;C;M;;24;;12;;M;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2;29-mar-14;2014;March;14:26:15;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;51;2;0;C;M;;24;;12;;M;1;1;;Lutjanus argentiventris;;7;;;;;;;;;;;;;;;;;;;;;;;;;
;3;29-mar-14;2014;March;14:28:30;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;54;2;0;C;M;;24;;12;;M;1;1;;Lutjanus argentiventris;;30;;;;;;;;;;;;;;;;;;;;;;;;;
;3;29-mar-14;2014;March;14:28:30;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;54;2;0;C;M;;24;;12;;M;1;1;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;4;29-mar-14;2014;March;14:30:45;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;52;2;0;C;M;;24;;12;;M;1;1;;Mycteroperca olfax;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
;4;29-mar-14;2014;March;14:30:45;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;52;2;0;C;M;;24;;12;;M;1;1;;Lutjanus argentiventris;;28;;;;;;;;;;;;;;;;;;;;;;;;;
;5;29-mar-14;2014;March;14:33:00;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;16;2;0;C;M;;24;;12;;M;1;1;;Mycteroperca olfax;;1;;;;;;;;;;;;;;;;;;;;;;;;;
;5;29-mar-14;2014;March;14:33:00;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;16;2;0;C;M;;24;;12;;M;1;1;;Lutjanus argentiventris;;3;;;;;;;;;;;;;;;;;;;;;;;;;
;6;29-mar-14;2014;March;14:35:15;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;44;2;0;C;M;;24;;12;;M;1;1;;Mycteroperca olfax;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;
;7;29-mar-14;2014;March;14:37:30;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;48;2;0;C;M;;24;;12;;M;1;1;;Lutjanus argentiventris;;4;;;;;;;;;;;;;;;;;;;;;;;;;
;8;29-mar-14;2014;March;14:39:45;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;53;2;0;C;M;;24;;12;;M;1;1;;Mycteroperca olfax;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;9;29-mar-14;2014;March;14:42:00;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;56;2;0;C;M;;24;;12;;M;1;1;;Lutjanus argentiventris;;5;;;;;;;;;;;;;;;;;;;;;;;;;
;10;29-mar-14;2014;March;14:44:15;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;68;2;0;C;M;;24;;12;;M;1;1;;Mycteroperca olfax;;;;2;;;;;;;;;;;;;;;;;;;;;;;
;11;29-mar-14;2014;March;14:46:30;Isabela;Este 8;Centro-sur;Pelayo Salinas;12;35;46;2;0;C;M;;24;;12;;M;1;1;;Lutjanus argentiventris;;2;;;;;;;;;;;;;;;;;;;;;;;;;
;1;30-mar-14;2014;March;08:32:00;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;51;2;0;C;M;;23;;15;;R;1;2;;Lutjanus argentiventris;;;3;;;;;;;;;;;;;;;;;;;;;;;;
;1;30-mar-14;2014;March;08:32:00;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;51;2;0;C;M;;23;;15;;R;1;2;;Sphyrna lewini;macho;;;;;;;;;;;;;;2;;;;;;;;;;;;
;1;30-mar-14;2014;March;08:32:00;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;51;2;0;C;M;;23;;15;;R;1;2;;Sphyrna lewini;indeterminado;;;;;;;;;;;;;1;;;;;;;;;;;;;
;2;30-mar-14;2014;March;08:34:15;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;57;2;0;C;M;;23;;15;;R;1;2;;Mycteroperca olfax;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
;3;30-mar-14;2014;March;08:36:30;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;49;2;0;C;M;;23;;15;;R;1;2;;Manta birostris;;;;;;;;;;;;;;;;;;;;;1;;;;;;
;3;30-mar-14;2014;March;08:36:30;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;49;2;0;C;M;;23;;15;;R;1;2;;Mycteroperca olfax;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;4;30-mar-14;2014;March;08:38:45;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;51;2;0;C;M;;23;;15;;R;1;2;;Carcharhinus limbatus;hembra;;;;;;;;;;;;;;1;;;;;;;;;;;;
;4;30-mar-14;2014;March;08:38:45;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;51;2;0;C;M;;23;;15;;R;1;2;;Mycteroperca olfax;;;1;;1;;;;;;;;;;;;;;;;;;;;;;
;4;30-mar-14;2014;March;08:38:45;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;51;2;0;C;M;;23;;15;;R;1;2;;Chelonia mydas;hemabra;;;;;;;;1;;;;;;;;;;;;;;;;;;
;5;30-mar-14;2014;March;08:41:00;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;47;2;0;C;M;;23;;15;;R;1;2;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;5;30-mar-14;2014;March;08:41:00;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;47;2;0;C;M;;23;;15;;R;1;2;;Sphyrna lewini;indeterminado;;;;;;;;;;;;;;1;;;;;;;;;;;;
;6;30-mar-14;2014;March;08:43:15;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;53;2;0;C;M;;23;;15;;R;1;2;;Mycteroperca olfax;;;1;1;;;;;;;;;;;;;;;;;;;;;;;
;7;30-mar-14;2014;March;08:45:30;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;52;2;0;C;M;;23;;15;;R;1;2;;Carcharhinus galapagensis;hembra;;;;;;;;;;;;1;;;;;;;;;;;;;;
;8;30-mar-14;2014;March;08:47:45;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;59;2;0;C;M;;23;;15;;R;1;2;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;9;30-mar-14;2014;March;08:50:00;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;49;2;0;C;M;;23;;15;;R;1;2;;Sphyrna lewini;macho;;;;;;;;;;;;;;1;;;;;;;;;;;;
;10;30-mar-14;2014;March;08:52:15;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;52;2;0;C;M;;23;;15;;R;1;2;;Seriola rivoliana;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;11;30-mar-14;2014;March;08:54:30;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;59;2;0;C;M;;23;;15;;R;1;2;;Seriola rivoliana;;;;;;;;;1;;;;;;;;;;;;;;;;;;
;12;30-mar-14;2014;March;08:56:45;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;51;2;0;C;M;;23;;15;;R;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13;30-mar-14;2014;March;08:59:00;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;38;2;0;C;M;;23;;15;;R;1;2;;Decapterus sanctaehelenae;;700;;;;;;;;;;;;;;;;;;;;;;;;;
;14;30-mar-14;2014;March;09:01:15;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;46;2;0;C;M;;23;;15;;R;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15;30-mar-14;2014;March;09:03:30;Isabela;Islote Cowley;Centro-sur;Pelayo Salinas;16;45;17;2;0;C;M;;23;;15;;R;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;30-mar-14;2014;March;10:31:30;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;2;30-mar-14;2014;March;10:33:45;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;30-mar-14;2014;March;10:36:00;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;Mycteroperca olfax;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;
;4;30-mar-14;2014;March;10:38:15;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;30-mar-14;2014;March;10:40:30;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;Dasyatis brevis;;;;;;;;1;;;;;;;;;;;;;;;;;;;
;5;30-mar-14;2014;March;10:40:30;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;6;30-mar-14;2014;March;10:42:45;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;30-mar-14;2014;March;10:45:00;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;Mycteroperca olfax;;;;;1;1;;;;;;;;;;;;;;;;;;;;;
;8;30-mar-14;2014;March;10:47:15;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;Mycteroperca olfax;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;9;30-mar-14;2014;March;10:49:30;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;30-mar-14;2014;March;10:51:45;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;30-mar-14;2014;March;10:54:00;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;12;30-mar-14;2014;March;10:56:15;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13;30-mar-14;2014;March;10:58:30;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;14;30-mar-14;2014;March;11:00:45;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15;30-mar-14;2014;March;11:03:00;Pinzon;Pinzon;Centro-sur;Etienne Rastoin;18;43;36;2;0;C;M;;24;;15;;M;2;2;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;1;30-mar-14;2014;March;12:24:00;Santa Cruz;Cerro Dragon;Centro-sur;David Acuña;15;35;65;2;1;C;M;;23;;10;;M;1;1;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;2;30-mar-14;2014;March;12:26:15;Santa Cruz;Cerro Dragon;Centro-sur;David Acuña;17;35;65;2;1;C;M;;23;;10;;M;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;30-mar-14;2014;March;12:28:30;Santa Cruz;Cerro Dragon;Centro-sur;David Acuña;17;35;75;2;1;C;M;;23;;10;;M;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;30-mar-14;2014;March;12:30:45;Santa Cruz;Cerro Dragon;Centro-sur;David Acuña;17;35;67;2;1;C;M;;23;;10;;M;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;30-mar-14;2014;March;12:33:00;Santa Cruz;Cerro Dragon;Centro-sur;David Acuña;17;35;63;2;1;C;M;;23;;10;;M;2;1;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;6;30-mar-14;2014;March;12:35:15;Santa Cruz;Cerro Dragon;Centro-sur;David Acuña;15;35;69;2;1;C;M;;23;;10;;M;2;1;;Lutjanus argentiventris;;;;;3;2;;;;;;;;;;;;;;;;;;;;;
;6;30-mar-14;2014;March;12:35:15;Santa Cruz;Cerro Dragon;Centro-sur;David Acuña;15;35;69;2;1;C;M;;23;;10;;M;2;1;;Mycteroperca olfax;;;;;;;2;;;;;;;;;;;;;;;;;;;;
;7;30-mar-14;2014;March;12:37:30;Santa Cruz;Cerro Dragon;Centro-sur;David Acuña;15;35;77;2;1;C;M;;23;;10;;M;2;1;;Lutjanus argentiventris;;;1;;3;;;;;;;;;;;;;;;;;;;;;;
;8;30-mar-14;2014;March;12:39:45;Santa Cruz;Cerro Dragon;Centro-sur;David Acuña;16;35;61;2;1;C;M;;23;;10;;M;2;1;;Mycteroperca olfax;;;;;;;;1;;;;;;;;;;;;;;;;;;;
;9;30-mar-14;2014;March;12:42:00;Santa Cruz;Cerro Dragon;Centro-sur;David Acuña;16;35;70;2;1;C;M;;23;;10;;M;2;1;;Lutjanus argentiventris;;;;;2;1;;;;;;;;;;;;;;;;;;;;;
;10;30-mar-14;2014;March;12:44:15;Santa Cruz;Cerro Dragon;Centro-sur;David Acuña;16;35;32;2;1;C;M;;23;;10;;M;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;30-mar-14;2014;March;14:27:00;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;40;2;0;C;M;;23;;10;;R;1;3;;Zalophus wollebaeki;hembra;;;;;;;;;;;;;;;1;;;;;;;;;;;
;2;30-mar-14;2014;March;14:29:15;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;53;2;0;C;M;;23;;10;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;30-mar-14;2014;March;14:31:30;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;84;2;0;C;M;;23;;10;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;30-mar-14;2014;March;14:33:45;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;75;2;0;C;M;;23;;10;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;30-mar-14;2014;March;14:36:00;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;70;2;0;C;M;;23;;10;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;30-mar-14;2014;March;14:38:15;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;58;2;0;C;M;;23;;10;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;30-mar-14;2014;March;14:40:30;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;59;2;0;C;M;;23;;10;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;30-mar-14;2014;March;14:42:45;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;58;2;0;C;M;;23;;10;;R;1;3;;Carcharhinus galapagensis;indeterminado;;;;;;;;;;;1;;2;;;;;;;;;;;;;
;9;30-mar-14;2014;March;14:45:00;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;41;2;0;C;M;;23;;10;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;30-mar-14;2014;March;14:47:15;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;48;2;0;C;M;;23;;10;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;30-mar-14;2014;March;14:49:30;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;55;2;0;C;M;;23;;10;;R;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12;30-mar-14;2014;March;14:51:45;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;57;2;0;C;M;;23;;10;;R;1;3;;;indeterminado;;;;;;;;;;;;;;;;1;;;;;;;;;;
;13;30-mar-14;2014;March;14:54:00;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;51;2;0;C;M;;23;;10;;R;1;3;;Carcharhinus galapagensis;hembra;;;;;;;;;;;;1;;;;;;;;;;;;;;
;14;30-mar-14;2014;March;14:56:15;Santa Cruz;Daphne menor;Centro-sur;Pelayo Salinas;17;40;25;2;0;C;M;;23;;10;;R;1;3;;Chelonia mydas;macho;;;;;;;;1;;;;;;;;;;;;;;;;;;
;1;31-mar-14;2014;March;07:27:00;Seymour norte;Seymour norte;Centro-sur;David Acuña;17;42;46;2;1;C;M;17;24;21;18;8;M;2;2;17;Sphyrna lewini;macho;;;;;;;;;;;;;;1;;;;;;;;;;;;
;1;31-mar-14;2014;March;07:27:00;Seymour norte;Seymour norte;Centro-sur;David Acuña;17;42;46;2;1;C;M;17;24;21;18;8;M;2;2;17;Triaenodon obesus;macho;;;;;;;;;;;;;1;;;;;;;;;;;;;
;2;31-mar-14;2014;March;07:29:15;Seymour norte;Seymour norte;Centro-sur;David Acuña;17;42;62;2;1;C;M;17;24;21;18;8;M;2;2;17;Hoplopagrus guenteri;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;3;31-mar-14;2014;March;07:31:30;Seymour norte;Seymour norte;Centro-sur;David Acuña;17;42;75;2;1;C;M;17;24;21;18;8;M;1;2;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;31-mar-14;2014;March;07:33:45;Seymour norte;Seymour norte;Centro-sur;David Acuña;17;42;75;2;1;C;M;17;24;21;18;8;M;1;2;17;Lutjanus argentiventris;;;;;1;1;;;;;;;;;;;;;;;;;;;;;
