Primary_Key;Trasect_code;Date;Year;Month;Time;Island;Site;Bioregion;Diver;Depth;Dive_duration;Transect_length;Census_duration;Current;Temperature;Distance;Thermocline_depth;Water_temp_over_therm;Water_temp_below_therm;Vis_over_therm;Vis_below_therm;SPECIES;Sex;S_less_30;S_30;S_35;S_40;S_50;S_60;S_70;S_80;S_90;S_100;S_110;S_125;S_150;S_175;S_200;S_210;S_225;S_250;S_300;S_350;S_400;S_more_400;Total;Comments;Cord1;Cord2;Cord3;Cord4
;5;18-feb-14;2014;February;15:19;Genovesa;Genovesa Norte;Norte;Tyler Eddy;18;;29;;;;;;;;;;Lutjanus argentiventris;;4;3;1;7;;;;;;;;;;;;;;;;;;;;;;;;
;6;18-feb-14;2014;February;15:21;Genovesa;Genovesa Norte;Norte;Tyler Eddy;18;;44;;;;;;;;;;Lutjanus argentiventris;;1;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;
;7;18-feb-14;2014;February;15:23;Genovesa;Genovesa Norte;Norte;Tyler Eddy;18;;34;;;;;;;;;;Lutjanus argentiventris;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
;8;18-feb-14;2014;February;15:25;Genovesa;Genovesa Norte;Norte;Tyler Eddy;18;;50;;;;;;;;;;Lutjanus argentiventris;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;
;9;18-feb-14;2014;February;15:28;Genovesa;Genovesa Norte;Norte;Tyler Eddy;18;;37;;;;;;;;;;Lutjanus argentiventris;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;
;1;19-feb-14;2014;February;07:16;Marchena;El Finado;Norte;David Acuña;18;42;34;2;1;C;M;;24;;10;;Lutjanus argentiventris;;;4;;5;;1;;;;;;;;;;;;;;;;;;;0,31295;-90,53962;;
;1;19-feb-14;2014;February;07:16;Marchena;El Finado;Norte;David Acuña;18;42;34;2;1;C;M;;24;;10;;Mycteroperca olfax;;;;1;3;1;;;;;;;;;;;;;;;;;;;;0,31295;-90,53962;;
;2;19-feb-14;2014;February;07:18;Marchena;El Finado;Norte;David Acuña;18;42;49;2;1;C;M;;24;;10;;Lutjanus argentiventris;;;;8;10;2;;;;;;;;;;;;;;;;;;;;0,31294;-90,53993;;
;2;19-feb-14;2014;February;07:16;Marchena;El Finado;Norte;David Acuña;18;42;49;2;1;C;M;;24;;10;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;0,31294;-90,53993;;
;3;19-feb-14;2014;February;07:20;Marchena;El Finado;Norte;David Acuña;18;42;49;2;1;C;M;;24;;10;;Lutjanus argentiventris;;;1;3;4;;1;;;;;;;;;;;;;;;;;;;0,31297;-90,54043;;
;3;19-feb-14;2014;February;07:20;Marchena;El Finado;Norte;David Acuña;18;42;49;2;1;C;M;;24;;10;;Dermatolepis dermatolepis;;;;;1;1;;;;;;;;;;;;;;;;;;;;0,31297;-90,54043;;
;3;19-feb-14;2014;February;07:20;Marchena;El Finado;Norte;David Acuña;18;42;49;2;1;C;M;;24;;10;;Mycteroperca olfax;;;;;2;;;;;;;;;;;;;;;;;;;;;0,31297;-90,54043;;
;4;19-feb-14;2014;February;07:23;Marchena;El Finado;Norte;David Acuña;18;42;53;2;1;C;M;;24;;10;;Lutjanus argentiventris;;;;;1;;;;;;;;;;;;;;;;;;;;;0,31306;-90,54091;;
