Primary_Key;Trasect_code;Date;Year;Month;Time;Island;Site;Bioregion;Diver;Depth;Dive_duration;Transect_length;Census_duration;Current;Temperature;Distance;Thermocline_depth;Water_temp_over_therm;Water_temp_below_therm;Vis_over_therm;Vis_below_therm;SPECIES;Sex;S_less_30;S_30;S_35;S_40;S_50;S_60;S_70;S_80;S_90;S_100;S_110;S_125;S_150;S_175;S_200;S_210;S_225;S_250;S_300;S_350;S_400;S_more_400;Total;Comments;Cord1;Cord2;Cord3;Cord4
;4;20-feb-14;2014;February;14:47;Marchena;Punta Calle;Norte;David Acuña;16;25;28;2;1;C;M;;24;;12;;Mycteroperca olfax;;;;1;2;1;;;;;;;;;;;;;;;;;;;;;;;
;5;20-feb-14;2014;February;14:47;Marchena;Punta Calle;Norte;David Acuña;16;25;39;2;1;C;M;;24;;12;;Lutjanus argentiventris;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
;6;20-feb-14;2014;February;14:49;Marchena;Punta Calle;Norte;David Acuña;16;25;39;2;1;C;M;;24;;12;;Mycteroperca olfax;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;
;7;20-feb-14;2014;February;15:16;Marchena;Punta Calle;Norte;Tyler Eddy;14;25;45;2;1;C;M;;24;;12;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;Se continuó el censo anterior a 300m aprox porque había un arenal. Se reinició el censo a las 15:16h;;;;
;7;20-feb-14;2014;February;15:16;Marchena;Punta Calle;Norte;Tyler Eddy;14;25;45;2;1;C;M;;24;;12;;Lutjanus argentiventris;;;;1;1;;;;;;;;;;;;;;;;;;;;Se continuó el censo anterior a 300m aprox porque había un arenal. Se reinició el censo a las 15:16h;;;;
;8;20-feb-14;2014;February;15:18;Marchena;Punta Calle;Norte;Tyler Eddy;14;25;49;2;1;C;M;;24;;12;;Mycteroperca olfax;;;;1;1;1;;;;;;;;;;;;;;;;;;;Se continuó el censo anterior a 300m aprox porque había un arenal. Se reinició el censo a las 15:16h;;;;
;8;20-feb-14;2014;February;15:18;Marchena;Punta Calle;Norte;Tyler Eddy;14;25;49;2;1;C;M;;24;;12;;Lutjanus argentiventris;;;;;;1;;;;;;;;;;;;;;;;;;;Se continuó el censo anterior a 300m aprox porque había un arenal. Se reinició el censo a las 15:16h;;;;
;9;20-feb-14;2014;February;15:20;Marchena;Punta Calle;Norte;Tyler Eddy;14;25;59;2;1;C;M;;24;;12;;Lutjanus argentiventris;;;;;1;;;;;;;;;;;;;;;;;;;;Se continuó el censo anterior a 300m aprox porque había un arenal. Se reinició el censo a las 15:16h;;;;
;9;20-feb-14;2014;February;15:20;Marchena;Punta Calle;Norte;Tyler Eddy;14;25;59;2;1;C;M;;24;;12;;Mycteroperca olfax;;;;;2;;;;;;;;;;;;;;;;;;;;Se continuó el censo anterior a 300m aprox porque había un arenal. Se reinició el censo a las 15:16h;;;;
;10;20-feb-14;2014;February;15:22;Marchena;Punta Calle;Norte;Tyler Eddy;14;25;42;2;1;C;M;;24;;12;;Mycteroperca olfax;;;;;2;;;;;;;;;;;;;;;;;;;;Se continuó el censo anterior a 300m aprox porque había un arenal. Se reinició el censo a las 15:16h;;;;
;10;20-feb-14;2014;February;15:22;Marchena;Punta Calle;Norte;Tyler Eddy;14;25;42;2;1;C;M;;24;;12;;Lutjanus argentiventris;;;;;1;;;;;;;;;;;;;;;;;;;;Se continuó el censo anterior a 300m aprox porque había un arenal. Se reinició el censo a las 15:16h;;;;
;1;21-feb-14;2014;February;07:02;Pinta;Pinta Sur;Norte;Tyler Eddy;17;25;34;2;2;C;M;;19;;12;;Lutjanus argentiventris;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;2;21-feb-14;2014;February;07:04;Pinta;Pinta Sur;Norte;Tyler Eddy;15;25;34;;2;C;M;;19;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;21-feb-14;2014;February;07:07;Pinta;Pinta Sur;Norte;Tyler Eddy;15;25;33;;2;C;M;;19;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;21-feb-14;2014;February;07:09;Pinta;Pinta Sur;Norte;Tyler Eddy;15;25;43;;2;C;M;;19;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;21-feb-14;2014;February;07:11;Pinta;Pinta Sur;Norte;Tyler Eddy;15;25;40;;2;C;M;;19;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;21-feb-14;2014;February;07:13;Pinta;Pinta Sur;Norte;Tyler Eddy;15;25;47;;2;C;M;;19;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;21-feb-14;2014;February;07:16;Pinta;Pinta Sur;Norte;Tyler Eddy;15;25;39;;2;C;M;;19;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;21-feb-14;2014;February;07:18;Pinta;Pinta Sur;Norte;Tyler Eddy;16;25;47;;2;C;M;;19;;12;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;9;21-feb-14;2014;February;07:20;Pinta;Pinta Sur;Norte;Tyler Eddy;17;25;42;;2;C;M;;19;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;21-feb-14;2014;February;07:22;Pinta;Pinta Sur;Norte;Tyler Eddy;15;25;43;;2;C;M;;19;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;21-feb-14;2014;February;07:25;Pinta;Pinta Sur;Norte;Tyler Eddy;16;25;46;;2;C;M;;19;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;21-feb-14;2014;February;10:35;Pinta;Pinta Norte;Norte;Tyler Eddy;12;25;29;;2;C;M;;24;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2;21-feb-14;2014;February;10:37;Pinta;Pinta Norte;Norte;Tyler Eddy;14;25;46;;2;C;M;;24;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;21-feb-14;2014;February;10:39;Pinta;Pinta Norte;Norte;Tyler Eddy;17;25;60;;2;C;M;;24;;12;;Lutjanus argentiventris;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;3;21-feb-14;2014;February;10:39;Pinta;Pinta Norte;Norte;Tyler Eddy;17;25;60;;2;C;M;;24;;12;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;4;21-feb-14;2014;February;10:41;Pinta;Pinta Norte;Norte;Tyler Eddy;16;25;61;;2;C;M;;24;;12;;Mycteroperca olfax;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;5;21-feb-14;2014;February;10:44;Pinta;Pinta Norte;Norte;Tyler Eddy;13;25;44;;2;C;M;;24;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;21-feb-14;2014;February;10:46;Pinta;Pinta Norte;Norte;Tyler Eddy;14;25;42;;2;C;M;;24;;12;;Lutjanus argentiventris;;;;;1;4;1;;;;;;;;;;;;;;;;;;;;;;
;7;21-feb-14;2014;February;10:48;Pinta;Pinta Norte;Norte;Tyler Eddy;17;25;44;;2;C;M;;24;;12;;Lutjanus argentiventris;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;
;8;21-feb-14;2014;February;10:50;Pinta;Pinta Norte;Norte;Tyler Eddy;15;25;31;;2;C;M;;24;;12;;Lutjanus argentiventris;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;
;9;21-feb-14;2014;February;10:56;Pinta;Pinta Norte;Norte;Tyler Eddy;13;25;25;;2;C;M;;24;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;21-feb-14;2014;February;10:58;Pinta;Pinta Norte;Norte;Tyler Eddy;13;25;62;;2;C;M;;24;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;21-feb-14;2014;February;14:34;Pinta;Pinta Oueste;Norte;Tyler Eddy;15;27;39;;2;C;M;;23;;8;;Lutjanus argentiventris;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
;1;21-feb-14;2014;February;14:34;Pinta;Pinta Oueste;Norte;Tyler Eddy;15;27;39;;2;C;M;;23;;8;;Mycteroperca olfax;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;
;2;21-feb-14;2014;February;14:36;Pinta;Pinta Oueste;Norte;Tyler Eddy;16;27;34;;2;C;M;;23;;8;;Lutjanus argentiventris;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;3;21-feb-14;2014;February;14:38;Pinta;Pinta Oueste;Norte;Tyler Eddy;16;27;35;;2;C;M;;23;;8;;Lutjanus argentiventris;;;;;4;2;3;;;;;;;;;;;;;;;;;;;;;;
;4;21-feb-14;2014;February;14:41;Pinta;Pinta Oueste;Norte;Tyler Eddy;15;27;36;;2;C;M;;23;;8;;Lutjanus argentiventris;;;;;1;6;2;;;;;;;;;;;;;;;;;;;;;;
;5;21-feb-14;2014;February;14:43;Pinta;Pinta Oueste;Norte;Tyler Eddy;16;27;44;;2;C;M;;23;;8;;Lutjanus argentiventris;;;;;1;7;1;;;;;;;;;;;;;;;;;;;;;;
;6;21-feb-14;2014;February;14:46;Pinta;Pinta Oueste;Norte;Tyler Eddy;15;27;47;;2;C;M;;23;;8;;Lutjanus argentiventris;;;;;4;2;1;1;;;;;;;;;;;;;;;;;;;;;
;6;21-feb-14;2014;February;14:46;Pinta;Pinta Oueste;Norte;Tyler Eddy;15;27;47;;2;C;M;;23;;8;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;7;21-feb-14;2014;February;14:48;Pinta;Pinta Oueste;Norte;Tyler Eddy;15;27;46;;2;C;M;;23;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;21-feb-14;2014;February;14:50;Pinta;Pinta Oueste;Norte;Tyler Eddy;14;27;51;;2;C;M;;23;;8;;Lutjanus argentiventris;;;;;1;5;3;1;;;;;;;;;;;;;;;;;;;;;
;9;21-feb-14;2014;February;14:52;Pinta;Pinta Oueste;Norte;Tyler Eddy;13;27;46;;2;C;M;;23;;8;;Lutjanus argentiventris;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;10;21-feb-14;2014;February;14:55;Pinta;Pinta Oueste;Norte;Tyler Eddy;12;27;55;;2;C;M;;23;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;21-feb-14;2014;February;14:57;Pinta;Pinta Oueste;Norte;Tyler Eddy;14;27;52;;2;C;M;;23;;8;;Mycteroperca olfax;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;12;21-feb-14;2014;February;14:59;Pinta;Pinta Oueste;Norte;Tyler Eddy;14;27;45;;2;C;M;;23;;8;;Dermatolepis dermatolepis;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;13;21-feb-14;2014;February;15:01;Pinta;Pinta Oueste;Norte;Tyler Eddy;14;27;42;;2;C;M;;23;;8;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;1;22-feb-14;2014;February;07:09;Santiago;Santiago Norte;Centro sur;Tyler Eddy;15;;67;;1;C;M;;26;;10;;Triaenodon obesus;macho;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
;2;22-feb-14;2014;February;07:12;Santiago;Santiago Norte;Centro sur;Tyler Eddy;15;;54;;1;C;M;;26;;10;;Mycteroperca olfax;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;3;22-feb-14;2014;February;07:14;Santiago;Santiago Norte;Centro sur;Tyler Eddy;14;;59;;1;C;M;;26;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;22-feb-14;2014;February;07:16;Santiago;Santiago Norte;Centro sur;Tyler Eddy;16;;56;;1;C;M;;26;;10;;Mycteroperca olfax;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;
;5;22-feb-14;2014;February;07:18;Santiago;Santiago Norte;Centro sur;Tyler Eddy;17;;57;;1;C;M;;26;;10;;Mycteroperca olfax;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
;6;22-feb-14;2014;February;07:21;Santiago;Santiago Norte;Centro sur;Tyler Eddy;15;;56;;1;C;M;;26;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;22-feb-14;2014;February;07:23;Santiago;Santiago Norte;Centro sur;Tyler Eddy;15;;54;;1;C;M;;26;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;22-feb-14;2014;February;07:25;Santiago;Santiago Norte;Centro sur;Tyler Eddy;14;;53;;1;C;M;;26;;10;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;9;22-feb-14;2014;February;07:27;Santiago;Santiago Norte;Centro sur;Tyler Eddy;13;;52;;1;C;M;;26;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;22-feb-14;2014;February;07:30;Santiago;Santiago Norte;Centro sur;Tyler Eddy;14;;64;;1;C;M;;26;;10;;Lutjanus novemfasciatus;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;22-feb-14;2014;February;07:32;Santiago;Santiago Norte;Centro sur;Tyler Eddy;15;;58;;1;C;M;;26;;10;;Lutjanus novemfasciatus;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;22-feb-14;2014;February;07:32;Santiago;Santiago Norte;Centro sur;Tyler Eddy;15;;58;;1;C;M;;26;;10;;Lutjanus argentiventris;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;12;22-feb-14;2014;February;07:34;Santiago;Santiago Norte;Centro sur;Tyler Eddy;14;;57;;1;C;M;;26;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13;22-feb-14;2014;February;07:36;Santiago;Santiago Norte;Centro sur;Tyler Eddy;15;;58;;1;C;M;;26;;10;;Mycteroperca olfax;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;14;22-feb-14;2014;February;07:38;Santiago;Santiago Norte;Centro sur;Tyler Eddy;16;;58;;1;C;M;;26;;10;;Lutjanus novemfasciatus;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;1;22-feb-14;2014;February;11:02;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;53;2;1;C;M;;26;;10;;Carcharhinus galapagensis;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;
;1;22-feb-14;2014;February;11:02;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;53;2;1;C;M;;26;;10;;Hoplopagrus guenteri;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;1;22-feb-14;2014;February;11:02;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;53;2;1;C;M;;26;;10;;Lutjanus argentiventris;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;2;22-feb-14;2014;February;11:04;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;72;2;1;C;M;;26;;10;;Hoplopagrus guenteri;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;2;22-feb-14;2014;February;11:04;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;72;2;1;C;M;;26;;10;;Carcharhinus galapagensis;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
;3;22-feb-14;2014;February;11:06;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;72;2;1;C;M;;26;;10;;Carcharhinus galapagensis;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
;4;22-feb-14;2014;February;11:08;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;67;2;1;C;M;;26;;10;;Carcharhinus galapagensis;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;5;22-feb-14;2014;February;11:11;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;50;2;1;C;M;;26;;10;;Dasyatis brevis;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;6;22-feb-14;2014;February;11:13;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;45;2;1;C;M;;26;;10;;Lutjanus argentiventris;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;6;22-feb-14;2014;February;11:13;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;45;2;1;C;M;;26;;10;;Carcharhinus galapagensis;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
;7;22-feb-14;2014;February;11:15;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;44;2;1;C;M;;26;;10;;Carcharhinus galapagensis;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;8;22-feb-14;2014;February;11:17;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;50;2;1;C;M;;26;;10;;Dasyatis brevis;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
;9;22-feb-14;2014;February;11:20;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;51;2;1;C;M;;26;;10;;Dasyatis brevis;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;10;22-feb-14;2014;February;11:22;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;43;2;1;C;M;;26;;10;;Zalophus wollebackii;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
;11;22-feb-14;2014;February;11:24;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;43;2;1;C;M;;26;;10;;Lutjanus argentiventris;;;12;4;2;2;;;;;;;;;;;;;;;;;;;;;;;
;11;22-feb-14;2014;February;11:24;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;43;2;1;C;M;;26;;10;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;11;22-feb-14;2014;February;11:24;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;43;2;1;C;M;;26;;10;;Dasyatis brevis;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;12;22-feb-14;2014;February;11:26;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;43;2;1;C;M;;26;;10;;Lutjanus argentiventris;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
;12;22-feb-14;2014;February;11:26;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;43;2;1;C;M;;26;;10;;Dasyatis brevis;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;
;13;22-feb-14;2014;February;11:29;Santiago;Santiago noreste;Centro sur;David Acuña;16;35;44;2;1;C;M;;26;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;22-feb-14;2014;February;14:07;Bartholome;Bartholome;Centro sur;Tyler Eddy;17;24;57;;1;C;M;;27;;10;;Mycteroperca olfax;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;
;1;22-feb-14;2014;February;14:07;Bartholome;Bartholome;Centro sur;Tyler Eddy;17;24;57;;1;C;M;;27;;10;;Lutjanus argentiventris;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;
;1;22-feb-14;2014;February;14:07;Bartholome;Bartholome;Centro sur;Tyler Eddy;17;24;57;;1;C;M;;27;;10;;Triaenodon obesus;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
;2;22-feb-14;2014;February;14:09;Bartholome;Bartholome;Centro sur;Tyler Eddy;19;24;59;;1;C;M;;27;;10;;Triaenodon obesus;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
;2;22-feb-14;2014;February;14:09;Bartholome;Bartholome;Centro sur;Tyler Eddy;19;24;59;;1;C;M;;27;;10;;Mycteroperca olfax;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;
;2;22-feb-14;2014;February;14:09;Bartholome;Bartholome;Centro sur;Tyler Eddy;19;24;59;;1;C;M;;27;;10;;Lutjanus novemfasciatus;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;3;22-feb-14;2014;February;14:11;Bartholome;Bartholome;Centro sur;Tyler Eddy;16;24;57;;1;C;M;;27;;10;;Mycteroperca olfax;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;
;4;22-feb-14;2014;February;14:14;Bartholome;Bartholome;Centro sur;Tyler Eddy;17;24;61;;1;C;M;;27;;10;;Mycteroperca olfax;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;
;5;22-feb-14;2014;February;14:16;Bartholome;Bartholome;Centro sur;Tyler Eddy;17;24;50;;1;C;M;;27;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;22-feb-14;2014;February;14:18;Bartholome;Bartholome;Centro sur;Tyler Eddy;18;24;58;;1;C;M;;27;;10;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;7;22-feb-14;2014;February;14:20;Bartholome;Bartholome;Centro sur;Tyler Eddy;14;24;60;;1;C;M;;27;;10;;Lutjanus argentiventris;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
;8;22-feb-14;2014;February;14:23;Bartholome;Bartholome;Centro sur;Tyler Eddy;19;24;62;;1;C;M;;27;;10;;Lutjanus argentiventris;;;;;2;7;7;;;;;;;;;;;;;;;;;;;;;;
;9;22-feb-14;2014;February;14:25;Bartholome;Bartholome;Centro sur;Tyler Eddy;19;24;54;;1;C;M;;27;;10;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;10;22-feb-14;2014;February;14:27;Bartholome;Bartholome;Centro sur;Tyler Eddy;18;24;62;;1;C;M;;27;;10;;Mycteroperca olfax;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;11;22-feb-14;2014;February;14:29;Bartholome;Bartholome;Centro sur;Tyler Eddy;17;24;44;;1;C;M;;27;;10;;Carcharhinus galapagensis;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
;1;23-feb-14;2014;February;06:51;Rocha sin nombre;Rocha sin nombre;Centro sur;Tyler Eddy;19;21;58;;2;C;M;;25;;10;;Mycteroperca olfax;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;
;1;23-feb-14;2014;February;06:51;Rocha sin nombre;Rocha sin nombre;Centro sur;Tyler Eddy;19;21;58;;2;C;M;;25;;10;;Dermatolepis dermatolepis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2;23-feb-14;2014;February;06:54;Rocha sin nombre;Rocha sin nombre;Centro sur;Tyler Eddy;18;21;62;;2;C;M;;25;;10;;Carcharhinus galapagensis;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
;3;23-feb-14;2014;February;06:56;Rocha sin nombre;Rocha sin nombre;Centro sur;Tyler Eddy;21;21;52;;2;C;M;;25;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;23-feb-14;2014;February;06:58;Rocha sin nombre;Rocha sin nombre;Centro sur;Tyler Eddy;19;21;29;;2;C;M;;25;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;23-feb-14;2014;February;07:01;Rocha sin nombre;Rocha sin nombre;Centro sur;Tyler Eddy;19;21;52;;2;C;M;;25;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;23-feb-14;2014;February;07:03;Rocha sin nombre;Rocha sin nombre;Centro sur;Tyler Eddy;21;21;43;;2;C;M;;25;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;23-feb-14;2014;February;07:06;Rocha sin nombre;Rocha sin nombre;Centro sur;Tyler Eddy;19;21;45;;2;C;M;;25;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;23-feb-14;2014;February;07:08;Rocha sin nombre;Rocha sin nombre;Centro sur;Tyler Eddy;18;21;46;;2;C;M;;25;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9;23-feb-14;2014;February;07:10;Rocha sin nombre;Rocha sin nombre;Centro sur;Tyler Eddy;18;21;26;;2;C;M;;25;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;23-feb-14;2014;February;08:46;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;17;27;50;;1;C;M;;26;;8;;Mycteroperca olfax;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;2;23-feb-14;2014;February;08:48;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;17;27;55;;1;C;M;;26;;8;;Lutjanus novemfasciatus;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;3;23-feb-14;2014;February;08:50;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;20;27;55;;1;C;M;;26;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;23-feb-14;2014;February;08:51;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;19;27;55;;1;C;M;;26;;8;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;5;23-feb-14;2014;February;10:53;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;19;27;49;;1;C;M;;26;;8;;Lutjanus novemfasciatus;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;6;23-feb-14;2014;February;08:55;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;20;27;52;;1;C;M;;26;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;23-feb-14;2014;February;08:57;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;21;27;65;;1;C;M;;26;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;23-feb-14;2014;February;09:00;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;20;27;61;;1;C;M;;26;;8;;Lutjanus argentiventris;;;;;6;6;2;;;;;;;;;;;;;;;;;;;;;;
;9;23-feb-14;2014;February;09:02;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;19;27;58;;1;C;M;;26;;8;;Lutjanus argentiventris;;1;2;3;6;3;3;;;;;;;;;;;;;;;;;;;;;;
;10;23-feb-14;2014;February;09:04;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;18;27;54;;1;C;M;;26;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;23-feb-14;2014;February;09:06;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;19;27;52;;1;C;M;;26;;8;;Mycteroperca olfax;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12;23-feb-14;2014;February;09:08;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;19;27;44;;1;C;M;;26;;8;;Lutjanus argentiventris;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;
;12;23-feb-14;2014;February;09:08;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;19;27;44;;1;C;M;;26;;8;;Mycteroperca olfax;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
;13;23-feb-14;2014;February;09:11;Santa Cruz;Las Palmas;Centro sur;Tyler Eddy;17;27;24;;1;C;M;;26;;8;;Lutjanus argentiventris;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
