Primary_Key;Trasect_code;Date;Year;Month;Time;Island;Site;Bioregion;Diver;Depth;Dive_duration;Transect_length;Census_duration;Current;Temperature;Distance;Thermocline_depth;Water_temp_over_therm;Water_temp_below_therm;Vis_over_therm;Vis_below_therm;Habitat_type_RSM;Rugosity_0_3;Inclination_0_3;Rocky_reef_max_depth;SPECIES;Sex;S_less_30;S_30;S_35;S_40;S_50;S_60;S_70;S_80;S_90;S_100;S_110;S_125;S_150;S_175;S_200;S_210;S_225;S_250;S_300;S_350;S_400;S_more_400;Total;Comments;Cord1;Cord2
;2;27-feb-14;2014;February;14:46:00;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;48;2;1;C;M;;26;;14;;;;;;Carcharhinus galapagensis;;;;;;;;;;;;;;1;;;;;;;;;;;;;
;3;27-feb-14;2014;February;14:48:15;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;38;2;1;C;M;;26;;14;;;;;;Triaenodon obesus;macho;;;;;;;;;;;;;1;;;;;;;;;;;;;
;4;27-feb-14;2014;February;14:50:30;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;38;2;1;C;M;;26;;14;;;;;;Triaenodon obesus;macho;;;;;;;;;;;;1;;;;;;;;;;;;;;
;4;27-feb-14;2014;February;14:50:30;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;38;2;1;C;M;;26;;14;;;;;;Mycteroperca olfax;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;5;27-feb-14;2014;February;14:52:45;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;37;2;1;C;M;;26;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;27-feb-14;2014;February;14:55:00;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;39;2;1;C;M;;26;;14;;;;;;Mycteroperca olfax;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;7;27-feb-14;2014;February;14:57:15;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;40;2;1;C;M;;26;;14;;;;;;Dasyatis brevis;hembra;;;;;;1;;;;;;;;;;;;;;;;;;;;
;8;27-feb-14;2014;February;14:59:30;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;44;2;1;C;M;;26;;14;;;;;;Mycteroperca olfax;;;;2;1;;;;;;;;;;;;;;;;;;;;;;
;9;27-feb-14;2014;February;15:01:45;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;39;2;1;C;M;;26;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;27-feb-14;2014;February;15:04:00;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;34;2;1;C;M;;26;;14;;;;;;Mycteroperca olfax;;;;;2;1;;;;;;;;;;;;;;;;;;;;;
;11;27-feb-14;2014;February;15:06:15;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;38;2;1;C;M;;26;;14;;;;;;Mycteroperca olfax;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;
;12;27-feb-14;2014;February;15:08:30;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;30;2;1;C;M;;26;;14;;;;;;Mycteroperca olfax;;;;;1;;1;;;;;;;;;;;;;;;;;;;;
;12;27-feb-14;2014;February;15:08:30;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;30;2;1;C;M;;26;;14;;;;;;Triaenodon obesus;hembra;;;;;;;;;;;;1;1;;;;;;;;;;;;;
;13;27-feb-14;2014;February;15:10:45;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;34;2;1;C;M;;26;;14;;;;;;Mycteroperca olfax;;;;;1;1;;;;;;;;;;;;;;;;;;;;;
;14;27-feb-14;2014;February;15:13:00;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;32;2;1;C;M;;26;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15;27-feb-14;2014;February;15:15:15;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;39;2;1;C;M;;26;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;16;27-feb-14;2014;February;15:17:30;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;20;2;1;C;M;;26;;14;;;;;;Chelonia mydas;macho;;;;;;;;;1;;;;;;;;;;;;;;;;;
;16;27-feb-14;2014;February;15:17:30;Santiago;Santiago noroeste;Centro-sur;David Acuña;15;45;20;2;1;C;M;;26;;14;;;;;;Myvteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;1;28-feb-14;2014;February;10:50:00;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;21;2;0;C;M;;24;;15;;R;2;2;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2;28-feb-14;2014;February;10:52:15;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;47;2;0;C;M;;24;;15;;R;2;2;35;Lutjanus novemfasciatus;;;;;;15;;;;2;;;;;;;;;;;;;;;;;
;2;28-feb-14;2014;February;10:52:15;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;47;2;0;C;M;;24;;15;;R;2;2;35;Myvteroperca olfax;;;;1;2;;;;;;;;;;;;;;;;;;;;;;
;3;28-feb-14;2014;February;10:54:30;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;41;2;0;C;M;;24;;15;;R;2;2;35;Myvteroperca olfax;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
;3;28-feb-14;2014;February;10:54:30;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;41;2;0;C;M;;24;;15;;R;2;2;35;Chelonia mydas;macho;;;;;;;;1;;;;;;;;;;;;;;;;;;
;3;28-feb-14;2014;February;10:54:30;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;41;2;0;C;M;;24;;15;;R;2;2;35;Dasyatis brevis;hembra;;;;;;;1;;;;;;;;;;;;;;;;;;;
;4;28-feb-14;2014;February;10:56:45;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;45;2;0;C;M;;24;;15;;R;2;2;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;28-feb-14;2014;February;10:59:00;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;51;2;0;C;M;;24;;15;;M;1;2;25;Myvteroperca olfax;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
;5;28-feb-14;2014;February;10:59:00;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;51;2;0;C;M;;24;;15;;M;1;2;25;Scomberomorus sierra;;;;;;;;;1;;;;;;;;;;;;;;;;;;
;6;28-feb-14;2014;February;11:01:15;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;50;2;0;C;M;;24;;15;;M;1;2;25;Myvteroperca olfax;;;;;1;1;;;;;;;;;;;;;;;;;;;;;
;7;28-feb-14;2014;February;11:03:30;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;53;2;0;C;M;;24;;15;;M;1;2;25;Myvteroperca olfax;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
;8;28-feb-14;2014;February;11:05:45;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;64;2;0;C;M;;24;;15;;M;1;2;25;Myvteroperca olfax;;;;;3;;;;;;;;;;;;;;;;;;;;;;
